"code","description","short_name","region","group_type_code","erul_code","erul_description","big_group_code","big_group"
22,"Производство вина с защищенным географическим указанием, с защищенным наименованием места происхождения",ПХП_ВИНО_ЗГУ,false,1,771,"производство вина с защищенным географическим указанием, с защищенным наименованием места происхождения",,
21,"производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов",ПХП_ВИНО,false,1,771,"производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов",,
20,"временное разрешение на завершение полного цикла производства дистиллятов или право на завершение выдержки винодельческой продукции, а также право на хранение и поставку дистиллятов или винодельческой продукции",ВРЗ,false,1,,,,
19,розничная продажа алкогольной продукции при оказании услуг общественного питания,РПО,true,6,800,,800,
18,розничная продажа алкогольной продукции,РПА,true,6,799,,799,
17,перевозки нефасованной спиртосодержащей не пищевой продукции с содержанием этилового спирта более 25 процентов объема готовой продукции,Т_ССНП,false,5,783,перевозки нефасованной спиртосодержащей не пищевой продукции с содержанием этилового спирта более 25 процентов объема готовой продукции,1,оборот
16,перевозки нефасованной спиртосодержащей пищевой продукции с содержанием этилового спирта более 25 процентов объема готовой продукции,Т_ССПП,false,5,822,перевозки нефасованной спиртосодержащей пищевой продукции с содержанием этилового спирта более 25 процентов объема готовой продукции,1,оборот
15,перевозки этилового спирта,Т_ЭС,false,5,821,перевозки этилового спирта,1,оборот
14,хранение спиртосодержащей непищевой продукции,Х_ССНП,false,4,1762,хранение спиртосодержащей непищевой продукции,1,оборот
13,хранение спиртосодержащей пищевой продукции,Х_ССПП,false,4,1762,хранение спиртосодержащей пищевой продукции,1,оборот
12,хранение алкогольной продукции,Х_АП,false,4,774,хранение алкогольной продукции,1,оборот
11,хранение этилового спирта,Х_ЭС,false,4,776,хранение этилового спирта,1,оборот
10,"закупка, хранение и поставки спиртосодержащей непищевой продукции",ЗХП_ССНП,false,3,780,"закупка, хранение и поставки спиртосодержащей непищевой продукции",1,оборот
9,"закупка, хранение и поставки спиртосодержащей пищевой продукции",ЗХП_ССПП,false,3,779,"закупка, хранение и поставки спиртосодержащей пищевой продукции",1,оборот
8,"закупка, хранение и поставки алкогольной продукции",ЗХП_АП,false,3,778,"Закупка, хранение и поставки алкогольной продукции",1,оборот
7,производство этилового спирта для производства фармацевтической субстанции спирта этилового (этанола),ПХП_ФАРМ,false,1,819,производство этилового спирта для производства фармацевтической субстанции спирта этилового (этанола),2,производство
6,"производство, хранение и поставки спиртосодержащей непищевой продукции",ПХП_ССНП,false,1,820,"Производство, хранение и поставки произведенной спиртосодержащей непищевой продукции",2,производство
5,"производство, хранение и поставки произведенной спиртосодержащей пищевой продукции",ПХП_ССПП,false,1,772,"производство, хранение и поставки произведенной спиртосодержащей пищевой продукции",2,производство
4,"производство, хранение, поставки и розничная продажа произведенной сельскохозяйственными производителями винодельческой продукции",ПХПРП_СХП,false,2,784,"производство, хранение, поставки и розничная продажа произведенной сельскохозяйственными производителями винодельческой продукции",2,производство
3,"производство, хранение и поставки произведенной сельскохозяйственными производителями винодельческой продукции",ПХП_СХП,false,1,785,"производство, хранение и поставки произведенной сельскохозяйственными производителями винодельческой продукции",2,производство
2,"производство, хранение и поставки произведенной алкогольной продукции",ПХП_АП,false,1,771,"производство, хранение и поставки произведенной алкогольной продукции",2,производство
1,"производство, хранение и поставки произведенного этилового спирта",ПХП_ЭС,false,1,770,"производство, хранение и поставки произведенного этилового спирта",2,производство
